host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Entire house in Midwood,Midwood,Comfortable Private Apartment in Heart of Flatbush,3.0,4.55,87,54.0
SUPERHOST,Entire house in Jersey City,JerseyCity,2 bed 1 bath Apartment 25mins to Manhat,2.0,4.67,6,53.0
SUPERHOST,Private room in Roselle,Roselle,Comfortable Private room,2.0,4.37,19,28.0
SUPERHOST,Private room in Queens,Queens,"Bright and clean room in Astoria, steps from train",2.0,4.96,27,40.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Spacious Brooklyn 1-bed right by buses and subway,2.0,5.0,8,61.0
SUPERHOST,Entire apartment in Allerton,Allerton,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3.0,4.48,244,49.0
SUPERHOST,Private room in Bushwick,Bushwick,Private Room + Tons of Spacious Common Areas,1.0,na,na,31.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Beautiful King Bed Hotel Room,2.0,4.67,6,79.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Beautiful King Bed Hotel Room,2.0,4.67,6,79.0
SUPERHOST,Entire place in Midtown,Midtown,Cool studio in midtown Manhattan,2.0,5.0,7,60.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Cozy Apartment,2.0,5.0,5,76.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Beautiful studio in midtown Manhattan,2.0,na,na,60.0
,,,,,,,
SUPERHOST,Private room in Upper West Side,UpperWestSide,Cozy Room with Balcony in New York,2.0,4.25,40,50.0
SUPERHOST,Private room in Bushwick,Bushwick,"Private Studio+bath+Roof Deck, 15 min to Manhattan",2.0,4.92,75,63.0
